ID;PROVINCIA;LOCALIDAD
1185;Canelones;Barrio San Cristobal
1186;Canelones;Haras Del Lago
1187;Canelones;Medanos De Solymar
1188;Canelones;La Asuncion
1189;Canelones;Solymar
1190;Canelones;Altos De La Tahona
1191;Canelones;Progreso
1192;Canelones;Vista Linda
1193;Canelones;El Dorado
1194;Canelones;Villa Foresti
1195;Canelones;Barrio Copola
1196;Canelones;Villa Felicidad
1197;Canelones;Villa Paz S.A.
1198;Canelones;Barrio Remanso
1199;Canelones;Parada Cabrera
1200;Canelones;Fracc. Progreso
1201;Canelones;Las Piedras
1202;Canelones;Puntas De Canelon Chico
1203;Canelones;Canelon Chico Al Centro
1204;Canelones;Camino Dodera
1205;Canelones;Barrio La Lucha
1206;Canelones;La Paz
1207;Canelones;Instituto Adventista
1208;Canelones;Costa Y Guillamon
1209;Canelones;El Colorado
1210;Canelones;Poquitos
1211;Canelones;Paso Del Colorado
1212;Canelones;Santos Lugares
1213;Canelones;Cuchilla De Sierra
1214;Canelones;Villa San Cono
1215;Canelones;Canelon Chico De Progreso
1216;Canelones;Colorado Chico
1217;Maldonado;Faro Jose Ignacio
1218;Maldonado;San Rafael - El Placer
1219;Maldonado;La Juanita
1220;Maldonado;El Chorro
1221;Maldonado;Manantiales
1222;Maldonado;Ocean Park
1223;Maldonado;La Barra
1224;Maldonado;Sauce De Portezuelo
1225;Maldonado;Los Corchos
1226;Maldonado;Arenas De Jose Ignacio
1227;Maldonado;Maldonado
1228;Maldonado;Barrio Kennedy
1229;Maldonado;Sarandi Del Mataojo
1230;Maldonado;La Capuera
1231;Maldonado;Balneario Buenos Aires
1232;Maldonado;Chihuahua
1233;Maldonado;Cerro Pelado
1234;Maldonado;Punta Del Este
1235;Maldonado;Villa Delia
1236;Maldonado;Pinares - Las Delicias
1237;Maldonado;Laguna Blanca
1238;Maldonado;Eden Rock
1239;Maldonado;La Sonrisa
1240;Maldonado;Punta Ballena
1241;Maldonado;Rincon Del Indio
1242;Maldonado;Zanja Del Tigre
1243;Maldonado;Mataojo
1244;Maldonado;Laguna Del Sauce
1245;Maldonado;Rincon De Los Sosa
1246;Maldonado;San Juan Del Este
1247;Maldonado;Portezuelo
1248;Maldonado;Puntas De Mataojo
1249;Maldonado;Puntas De Pan De Azucar
1250;Maldonado;Lago De Los Cisnes
1251;Maldonado;Barra Del Sauce
1252;Maldonado;El Eden
1253;Maldonado;Los Aromos
1254;Maldonado;El Tesoro
1255;Maldonado;Canteras De Marelli
1256;Maldonado;Las Cumbres
1257;Maldonado;Faro Jose Ignacio Norte
1258;Maldonado;Barrio Hipodromo
1259;Maldonado;San Vicente
1260;Maldonado;Santa Monica
1261;Maldonado;Buenos Aires
1262;Maldonado;Playa Verde
1263;Maldonado;Las Flores
1264;Maldonado;Piriapolis
1265;Maldonado;Bella Vista
1266;Maldonado;Playa Grande
1267;Maldonado;La Falda
